                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.1566,                 5.3741,                 3.9294,                0.03759,                0.14381,                0.02763,                0.00759,                 4.2822,                 3.1519,                 3.4111,               0.070144,              0.0033173,              0.0033173
                      1,                 3.5843,                 3.0793,                 3.0297,                 0.2003,                0.33176,                 0.1404,                0.04827,                 2.8211,                 3.1287,                 2.5864,               0.040128,              0.0066342,              0.0066342
                      2,                 2.8127,                 3.8893,                 2.3672,                0.19584,                0.41995,                 0.1787,                0.06516,                 2.6962,                 2.5284,                 2.4134,               0.010095,              0.0099346,              0.0099346
                      3,                 2.4337,                  3.343,                  2.118,                0.17725,                0.27861,                0.13587,                0.03207,                 2.9013,                 3.7693,                 2.4059,              0.0099258,              0.0099258,              0.0099258
                      4,                 2.3307,                 2.5996,                 2.0205,                0.62349,                0.38159,                 0.4809,                0.19144,                 2.1244,                 2.0644,                 1.9085,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.0208,                 2.0103,                 1.7386,                0.82254,                0.53118,                0.68317,                0.35364,                  1.994,                 1.8157,                 1.7671,               0.009901,               0.009901,               0.009901
                      6,                 1.9856,                 2.2637,                 1.7516,                0.89086,                0.72771,                0.83518,                0.46426,                 1.7271,                 1.3241,                 1.5742,              0.0098763,              0.0098763,              0.0098763
                      7,                 1.8101,                 1.4111,                 1.5479,                0.90464,                0.76393,                0.85767,                0.46284,                 1.7022,                 1.0561,                 1.5531,              0.0098515,              0.0098515,              0.0098515
                      8,                 1.7118,                 1.2404,                 1.5201,                0.88759,                 0.7844,                0.86546,                 0.4626,                 1.6695,                 1.0427,                 1.5214,              0.0098268,              0.0098268,              0.0098268
                      9,                 1.6418,                 1.0047,                 1.4666,                0.93134,                0.80089,                0.89233,                0.52783,                 1.5329,                0.92512,                 1.4132,               0.009802,               0.009802,               0.009802
                     10,                 1.6396,                0.98871,                 1.4109,                0.91596,                0.82426,                0.90082,                0.50646,                 1.5723,                0.95247,                  1.431,              0.0097773,              0.0097773,              0.0097773
                     11,                 1.5898,                  1.243,                 1.3841,                 0.8529,                 0.7111,                0.81181,                0.40652,                 1.9383,                 1.1079,                 1.6405,              0.0097525,              0.0097525,              0.0097525
                     12,                 1.5348,                 1.2005,                 1.3615,                0.93002,                0.83031,                0.90973,                0.50936,                 1.5805,                0.84478,                 1.4045,              0.0097278,              0.0097278,              0.0097278
                     13,                 1.5864,                 1.1058,                 1.3478,                0.91916,                0.81635,                0.90414,                0.51446,                  1.578,                0.90078,                 1.4206,               0.009703,               0.009703,               0.009703
                     14,                 1.4833,                0.93149,                 1.3013,                 0.9353,                0.85669,                0.92812,                0.56408,                 1.4562,                0.78503,                 1.3309,              0.0096783,              0.0096783,              0.0096783
                     15,                 1.5091,                0.87537,                 1.3162,                0.91756,                0.84076,                0.91672,                0.54118,                 1.4422,                0.80736,                 1.3277,              0.0096535,              0.0096535,              0.0096535
                     16,                 1.4845,                0.85734,                 1.3176,                0.91706,                0.81901,                0.91246,                0.58482,                  1.382,                0.88309,                 1.2964,              0.0096288,              0.0096288,              0.0096288
                     17,                 1.4484,                0.91575,                 1.2487,                0.92603,                0.85094,                0.92162,                  0.572,                 1.3926,                0.78789,                 1.2822,               0.009604,               0.009604,               0.009604
                     18,                 1.4326,                0.89562,                 1.2624,                0.93434,                0.86006,                0.93177,                0.56873,                 1.4135,                0.77408,                 1.3013,              0.0095793,              0.0095793,              0.0095793
                     19,                 1.4257,                0.77325,                 1.2387,                0.94109,                0.87387,                0.94246,                0.58933,                 1.3748,                0.73369,                 1.2764,              0.0095545,              0.0095545,              0.0095545
                     20,                  1.442,                0.78845,                   1.23,                0.94143,                0.87152,                0.94241,                0.61223,                 1.3294,                0.71555,                 1.2474,              0.0095298,              0.0095298,              0.0095298
                     21,                 1.3632,                0.82133,                 1.2222,                0.94241,                0.88723,                0.94748,                0.57005,                 1.4226,                0.70872,                 1.2935,               0.009505,               0.009505,               0.009505
                     22,                 1.3874,                0.70285,                 1.2454,                0.94716,                0.88577,                0.94901,                0.59344,                 1.3819,                0.69127,                 1.2812,              0.0094803,              0.0094803,              0.0094803
                     23,                 1.3659,                0.77657,                 1.2373,                0.95065,                0.87932,                0.94879,                0.61627,                  1.313,                0.67828,                 1.2257,              0.0094555,              0.0094555,              0.0094555
                     24,                 1.3723,                0.71288,                  1.237,                0.93722,                0.87559,                0.94593,                0.60402,                 1.3212,                 0.6773,                 1.2368,              0.0094307,              0.0094307,              0.0094307
                     25,                 1.3672,                0.69617,                 1.2018,                0.93893,                0.88306,                0.94883,                0.60906,                 1.3433,                0.68056,                 1.2404,               0.009406,               0.009406,               0.009406
                     26,                 1.3095,                0.69947,                 1.1909,                0.93159,                 0.8974,                0.95074,                0.60909,                 1.2999,                0.66862,                 1.2105,              0.0093813,              0.0093813,              0.0093813
                     27,                 1.3206,                0.67814,                 1.1842,                0.94165,                0.88534,                0.95545,                  0.617,                 1.2723,                0.66171,                 1.2087,              0.0093565,              0.0093565,              0.0093565
                     28,                 1.3255,                0.69192,                 1.2016,                0.94879,                0.89809,                0.95429,                0.62256,                 1.2759,                0.64902,                 1.2017,              0.0093317,              0.0093317,              0.0093317
                     29,                 1.2868,                0.64596,                 1.1819,                0.94967,                0.90174,                0.96171,                0.62973,                 1.2857,                0.62578,                 1.2088,               0.009307,               0.009307,               0.009307
                     30,                 1.3044,                0.97916,                 1.1818,                0.94321,                0.88341,                0.94819,                0.61611,                 1.3033,                0.66612,                 1.2231,              0.0092823,              0.0092823,              0.0092823
                     31,                 1.2954,                0.64744,                 1.1471,                0.95098,                0.90219,                0.96104,                0.63753,                 1.2643,                  0.612,                 1.2011,              0.0092575,              0.0092575,              0.0092575
                     32,                 1.2967,                0.74634,                 1.1785,                0.95229,                0.87602,                0.95223,                0.60331,                 1.3183,                0.64816,                 1.2325,              0.0092327,              0.0092327,              0.0092327
                     33,                 1.2829,                0.64586,                 1.1626,                0.94527,                0.89638,                0.95847,                0.62524,                 1.3068,                0.62883,                 1.2248,               0.009208,               0.009208,               0.009208
                     34,                 1.2728,                0.64499,                 1.1363,                0.95057,                0.90141,                0.96125,                0.64739,                  1.266,                0.61779,                 1.2008,              0.0091833,              0.0091833,              0.0091833
                     35,                 1.2705,                0.72104,                 1.1799,                 0.9398,                0.86455,                0.94114,                0.61755,                  1.331,                0.71892,                 1.2469,              0.0091585,              0.0091585,              0.0091585
                     36,                 1.2723,                0.66577,                 1.1506,                0.93963,                0.90566,                0.95828,                0.63502,                 1.2637,                0.61045,                 1.2007,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.2776,                 0.6469,                 1.1454,                0.94996,                0.90732,                0.96312,                0.63873,                 1.2661,                0.61344,                 1.2017,               0.009109,               0.009109,               0.009109
                     38,                 1.2771,                0.63378,                 1.1536,                  0.953,                 0.9061,                 0.9635,                0.64193,                 1.2384,                0.59124,                 1.1824,              0.0090843,              0.0090843,              0.0090843
                     39,                 1.2482,                0.64098,                   1.15,                0.95104,                0.89303,                0.95774,                 0.6291,                 1.2831,                0.64307,                 1.2154,              0.0090595,              0.0090595,              0.0090595
                     40,                 1.2279,                 0.6322,                 1.1831,                0.95472,                 0.9072,                0.96574,                 0.6384,                   1.25,                0.58938,                  1.184,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.2484,                0.59985,                  1.155,                0.95458,                0.91444,                0.96704,                0.64355,                 1.2392,                0.58384,                 1.1791,                0.00901,                0.00901,                0.00901
                     42,                 1.2126,                0.59709,                 1.1486,                0.95368,                0.91335,                0.96554,                0.64672,                 1.2294,                0.60132,                 1.1836,              0.0089853,              0.0089853,              0.0089853
                     43,                 1.2122,                0.58599,                 1.1534,                0.95428,                0.91674,                0.96633,                0.64547,                 1.2402,                0.57879,                 1.1877,              0.0089605,              0.0089605,              0.0089605
                     44,                 1.2209,                0.59749,                 1.1513,                0.94636,                0.91874,                0.96557,                0.64055,                 1.2411,                0.57419,                 1.1811,              0.0089358,              0.0089358,              0.0089358
                     45,                 1.1805,                0.57562,                 1.1258,                0.95186,                0.91877,                0.97035,                0.65695,                 1.2314,                0.56056,                 1.1765,               0.008911,               0.008911,               0.008911
                     46,                 1.2401,                0.59821,                 1.1479,                0.95083,                0.91795,                0.96712,                0.64512,                 1.2686,                0.57092,                 1.2026,              0.0088863,              0.0088863,              0.0088863
                     47,                 1.2384,                0.62214,                 1.1394,                0.95459,                0.91288,                0.96618,                 0.6416,                 1.2517,                0.56479,                 1.1751,              0.0088615,              0.0088615,              0.0088615
                     48,                 1.2162,                0.62569,                 1.1337,                0.95016,                0.88888,                0.95624,                0.63427,                 1.3117,                0.61511,                 1.2284,              0.0088368,              0.0088368,              0.0088368
                     49,                 1.2115,                0.58866,                  1.123,                0.95178,                0.90112,                0.96063,                0.65045,                 1.2224,                0.57146,                 1.1806,               0.008812,               0.008812,               0.008812
                     50,                  1.197,                0.59961,                 1.1336,                0.95711,                0.91339,                0.96764,                0.65667,                 1.2041,                0.56911,                 1.1608,              0.0087872,              0.0087872,              0.0087872
                     51,                 1.2031,                0.59157,                  1.125,                0.95879,                0.91502,                0.96928,                0.65911,                 1.2335,                0.55626,                 1.1911,              0.0087625,              0.0087625,              0.0087625
